,R/O,Year,Host_City,Country,Contestant,Song,Points,Place,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
514,13,1999,Jerusalem,Iceland,Selma Björnsdóttir,All Out Of Luck,146,2nd,58uGV2ng8QAeFznChuSJkv,0.586,0.873,9.0,-8.356,1.0,0.0386,0.0376,0.0,0.28,0.8440000000000001,131.814,206007.0,4.0
515,14,1999,Jerusalem,Cyprus,Marlain Angelidou,Tha'nai Erotas,2,22nd,,,,,,,,,,,,,,
516,15,1999,Jerusalem,Sweden,Charlotte Nilsson,Take Me To Your Heaven,163,1st,6yEkKWkh7cBsFPr7Cif3uL,0.517,0.927,4.0,-2.134,1.0,0.0428,0.319,0.0,0.187,0.402,144.167,183773.0,4.0
517,16,1999,Jerusalem,Portugal,Rui Bandeira,Como Tudo Começou,12,21st,0SEALLclpZUSzX68R3bFnv,0.79,0.888,6.0,-9.427999999999999,1.0,0.0672,0.0355,0.0,0.0565,0.9740000000000001,147.954,177320.0,4.0
518,17,1999,Jerusalem,Ireland,The Mullan's,When You Need Me,18,17th,,,,,,,,,,,,,,
519,18,1999,Jerusalem,Austria,Bobbie Singer,Reflection,65,10th,,,,,,,,,,,,,,
520,19,1999,Jerusalem,Israel,Eden,Yom Huledeth,93,5th,,,,,,,,,,,,,,
521,20,1999,Jerusalem,Malta,Times 3,Believe 'n Peace,32,15th,,,,,,,,,,,,,,
522,21,1999,Jerusalem,Germany,Sürpriz,Reise Nach Jerusalem - Kudüs'e Seyahat,140,3rd,,,,,,,,,,,,,,
523,22,1999,Jerusalem,Bosnia & Herzegovina,Dino and Beatrice,Putnici,86,7th,,,,,,,,,,,,,,
524,23,1999,Jerusalem,Estonia,Evelin Samuel and Camille,Diamond Of Night,90,6th,,,,,,,,,,,,,,
525,1,1998,Birmingham,Croatia,Danijela,Neka Mi Ne Svane,131,5th,,,,,,,,,,,,,,
526,2,1998,Birmingham,Greece,Dionysia and Thalassa group,Mia Krifi Evaisthissia,12,20th,,,,,,,,,,,,,,
527,3,1998,Birmingham,France,Marie-Line,Où Aller,3,24th,,,,,,,,,,,,,,
528,4,1998,Birmingham,Spain,Mikel Herzog,¿Qué Voy A Hacer Sin Ti?,21,16th,,,,,,,,,,,,,,
529,5,1998,Birmingham,Switzerland,Gunvor,Lass Ihn,—,25th,3hxqRp4OhlLVIFB2yi0rLq,0.5,0.8029999999999999,11.0,-6.166,0.0,0.0862,0.355,0.0,0.126,0.486,149.975,176707.0,4.0
530,6,1998,Birmingham,Slovakia,Katarína Hasprová,Modlitba,8,21st,,,,,,,,,,,,,,
531,7,1998,Birmingham,Poland,Sixteen,To Takie Proste,19,17th,0IfbVBzv2whyl6uLCDudVQ,0.688,0.769,8.0,-5.755,1.0,0.0234,0.0313,0.000484,0.26899999999999996,0.5760000000000001,100.066,174173.0,4.0
532,8,1998,Birmingham,Israel,Dana International,Diva,172,1st,,,,,,,,,,,,,,
533,9,1998,Birmingham,Germany,Guildo Horn,Guildo Hat Euch Lieb,86,7th,,,,,,,,,,,,,,
534,10,1998,Birmingham,Malta,Chiara,The One That I Love,165,3rd,3s1GSTcK3WAVbQhpVVziKN,0.5479999999999999,0.406,11.0,-6.567,1.0,0.0256,0.564,0.000164,0.0712,0.165,101.839,185147.0,4.0
535,11,1998,Birmingham,Hungary,Charlie,A Holnap Már Ném Lesz Szomorú,4,23rd,0lZzLwo9pldVtPWe9MkhWx,0.581,0.485,5.0,-7.095,1.0,0.0258,0.379,1.0300000000000001e-05,0.132,0.599,67.009,185040.0,4.0
536,12,1998,Birmingham,Slovenia,Vili Resnik,Naj Bogovi Sliijo,17,18th,,,,,,,,,,,,,,
537,13,1998,Birmingham,Ireland,Dawn,Is Always Over Now?,64,9th,,,,,,,,,,,,,,
538,14,1998,Birmingham,Portugal,Alma Lusa,Se Eu Te Pudesse Abraçar,36,12th,,,,,,,,,,,,,,
539,15,1998,Birmingham,Romania,Malina Olinescu,Eu Cred,6,22nd,,,,,,,,,,,,,,
540,16,1998,Birmingham,United Kingdom,Imaani,Where Are You?,166,2nd,,,,,,,,,,,,,,
541,17,1998,Birmingham,Cyprus,Michael Hajiyanni,Genesis,37,11th,,,,,,,,,,,,,,
542,18,1998,Birmingham,The Netherlands,Edsilia Rombley,Hemel En Aarde,150,4th,16kFUvzMPTUEcE4rQjT2n5,0.601,0.887,11.0,-6.1739999999999995,0.0,0.0575,0.0976,0.0,0.34299999999999997,0.7190000000000001,95.016,181547.0,4.0
543,19,1998,Birmingham,Sweden,Jill Johnson,Kärleken är,53,10th,,,,,,,,,,,,,,
544,20,1998,Birmingham,Belgium,Mélanie Cohl,Dis Oui,122,6th,,,,,,,,,,,,,,
545,21,1998,Birmingham,Finland,Edea,Aava,22,15th,,,,,,,,,,,,,,
546,22,1998,Birmingham,Norway,Lars A. Fredriksen,Alltid Sommer,79,8th,,,,,,,,,,,,,,
547,23,1998,Birmingham,Estonia,Koit Toome,Mere Lapsed,36,12th,,,,,,,,,,,,,,
548,24,1998,Birmingham,Turkey,Tüzmen,Unutamazsin,25,14th,,,,,,,,,,,,,,
549,25,1998,Birmingham,North Macedonia,Vlado Janevski,"Ne Zori, Zoro",16,19th,,,,,,,,,,,,,,
550,1,1997,Dublin,Cyprus,Chara and Andreas Konstantinou,Mana Mou,98,5th,,,,,,,,,,,,,,
551,2,1997,Dublin,Turkey,Sebnem Paker and Group Etnic,Dinle,121,3rd,,,,,,,,,,,,,,
552,3,1997,Dublin,Norway,Tor Endresen,San Francisco,—,24th,,,,,,,,,,,,,,
553,4,1997,Dublin,Austria,Bettina Soriat,One Step,12,21st,,,,,,,,,,,,,,
554,5,1997,Dublin,Ireland,Marc Roberts,Mysterious Woman,157,2nd,,,,,,,,,,,,,,
555,6,1997,Dublin,Slovenia,Tanja Ribic,Zbudi Se,60,10th,,,,,,,,,,,,,,
556,7,1997,Dublin,Switzerland,Barbara Berta,Dentro Di Me,5,22nd,,,,,,,,,,,,,,
557,8,1997,Dublin,The Netherlands,Mrs. Einstein,Niemand Heeft Nog Tijd,5,22nd,,,,,,,,,,,,,,
558,9,1997,Dublin,Italy,Jalisse,Fiumi Di Parole,114,4th,5ZS9fcqcYtfL80rj1bf7Lb,0.532,0.7509999999999999,4.0,-7.242000000000001,0.0,0.0458,0.461,0.0,0.0827,0.737,179.98,231733.0,4.0
559,10,1997,Dublin,Spain,Marcos Llunas,Sin Rencor,96,6th,79mY0wwCQoGgRSZfbYlU48,0.581,0.39399999999999996,3.0,-9.412,1.0,0.0368,0.805,2.52e-06,0.316,0.23199999999999998,132.15,185333.0,4.0
560,11,1997,Dublin,Germany,Bianca Shomburg,Zeit,22,18th,,,,,,,,,,,,,,
561,12,1997,Dublin,Poland,Anna Maria Jopek,Ale Jestem,54,11th,7kkS427KA8VjQqmcFcl3de,0.424,0.833,9.0,-6.247999999999999,1.0,0.384,0.5920000000000001,0.0,0.9740000000000001,0.529,80.115,195893.0,4.0
562,13,1997,Dublin,Estonia,Maarja-Liis Ilus,Keelatud Maa,82,8th,,,,,,,,,,,,,,
563,14,1997,Dublin,Bosnia & Herzegovina,Alma Cardzic,Goodbye,22,18th,,,,,,,,,,,,,,
564,15,1997,Dublin,Portugal,Célia Lawson,Antes Do Adeus,—,24th,0OUbbVIdTbL5RZJGXKCrng,0.579,0.444,5.0,-9.809,1.0,0.025,0.536,0.0,0.196,0.45299999999999996,79.947,171747.0,4.0
565,16,1997,Dublin,Sweden,Blond,Bara Hon älskar Mig,36,14th,5dEHUYf0NkT1pZeEJOCMsW,0.639,0.8059999999999999,2.0,-7.007000000000001,1.0,0.0359,0.171,0.0,0.36200000000000004,0.763,142.055,183467.0,4.0
566,17,1997,Dublin,Greece,Marianna Zorba,Horepse,39,12th,,,,,,,,,,,,,,
567,18,1997,Dublin,Malta,Debbie Scerri,Let Me Fly,66,9th,,,,,,,,,,,,,,
568,19,1997,Dublin,Hungary,VIP,"Miert Kell, Hogy Elmenj?",39,12th,,,,,,,,,,,,,,
569,20,1997,Dublin,Russia,Alla Pugachova,Primadonna,33,15th,,,,,,,,,,,,,,
570,21,1997,Dublin,Denmark,Kølig Kaj,Stemmen I Mit Liv,25,16th,,,,,,,,,,,,,,
571,22,1997,Dublin,France,Fanny,Sentiments Songes,95,7th,,,,,,,,,,,,,,
572,23,1997,Dublin,Croatia,ENI,Probudi Me,24,17th,4xSWJ8u0LH0LeX8fMT3gEf,0.7090000000000001,0.58,0.0,-10.788,0.0,0.0435,0.674,0.0,0.0818,0.6990000000000001,113.742,182733.0,4.0
573,24,1997,Dublin,United Kingdom,Katrina and The Waves,Love Shine A Light,227,1st,0WdBh2BQOq9U7PMk6sWzMz,0.40399999999999997,0.79,0.0,-5.281000000000001,1.0,0.0434,0.08900000000000001,4.75e-06,0.124,0.32899999999999996,83.978,187948.0,4.0
574,25,1997,Dublin,Iceland,Paul Oscar,Minn Hinsti Dans,18,20th,,,,,,,,,,,,,,
575,1,1996,Oslo,Turkey,Şebnem Paker,Besinçi Mevsim,57,12th,1tDORuOmMRGYFVKRullDtQ,0.259,0.5820000000000001,0.0,-4.607,0.0,0.0335,0.909,0.0241,0.34700000000000003,0.42100000000000004,79.175,188029.0,4.0
576,2,1996,Oslo,United Kingdom,Gina G,Ooh...Aah...Just A Little Bit,77,8th,7kyMLaXepcGHIrsLqoiTB8,0.647,0.9420000000000001,1.0,-7.101,1.0,0.0341,0.626,0.168,0.0411,0.937,130.97799999999998,203120.0,4.0
577,3,1996,Oslo,Spain,Antonio Carbonell,"¡Ay, Qué Deseo!",17,20th,,,,,,,,,,,,,,
578,4,1996,Oslo,Portugal,Lúcia Moniz,O Meu Coração Não Tem Cor,92,6th,,,,,,,,,,,,,,
579,5,1996,Oslo,Cyprus,Constantinos,Móno Gia Más,72,9th,,,,,,,,,,,,,,
580,6,1996,Oslo,Malta,Miriam Christine,In A Woman's Heart,68,10th,,,,,,,,,,,,,,
581,7,1996,Oslo,Croatia,Maja Blagdan,Sveta Ljubav,98,4th,2Bs83CullrCy1JAnm0adJr,0.44,0.565,0.0,-7.364,1.0,0.0396,0.261,0.0,0.127,0.38799999999999996,154.02200000000002,179307.0,3.0
582,8,1996,Oslo,Austria,George Nußbaumer,Weil's Dr Guat Got,68,10th,0fnVGMnqpMs3brzV0ilLIm,0.726,0.693,10.0,-7.8260000000000005,1.0,0.11,0.674,2e-05,0.626,0.523,125.561,266360.0,3.0
583,9,1996,Oslo,Switzerland,Cathy Leander,Mon Coeur L'aime,22,16th,,,,,,,,,,,,,,
584,10,1996,Oslo,Greece,Marianna Efstratiou,Emis Forame To Himona Anixiatika,36,14th,,,,,,,,,,,,,,
585,11,1996,Oslo,Estonia,Ivo Linna and Maarja-Liis Ilus,Kaelakee Hääl,94,5th,,,,,,,,,,,,,,
586,12,1996,Oslo,Norway,Elisabeth Andreasson,I Evighet,114,2nd,,,,,,,,,,,,,,
587,13,1996,Oslo,France,Dan Ar Braz et l'Héritage des Celtes,Diwanit Bugale,18,19th,,,,,,,,,,,,,,
588,14,1996,Oslo,Slovenia,Regina,Dan najlepših sanj,16,21st,4NrbpestG8aXXePSuvrsMB,0.605,0.654,4.0,-9.635,1.0,0.0328,0.115,0.00149,0.0759,0.6970000000000001,105.927,184280.0,4.0
589,15,1996,Oslo,The Netherlands,Maxine and Franklin Brown,De Eerste Keer,78,7th,16tt5gsCest1TGUDsbjxed,0.775,0.909,9.0,-5.891,1.0,0.0527,0.264,0.0,0.154,0.67,100.09,158427.0,4.0
590,16,1996,Oslo,Belgium,Lisa del Bo,Liefde Is Een Kaartspel,22,16th,69E3WU5InePQ4ZcRp5x7N1,0.608,0.795,0.0,-5.653,1.0,0.0369,0.00677,0.0,0.359,0.534,139.941,172739.0,4.0
591,17,1996,Oslo,Ireland,Eimear Quinn,The Voice,162,1st,,,,,,,,,,,,,,
592,18,1996,Oslo,Finland,Jasmine,Niin Kaunis On Taivas,9,23rd,,,,,,,,,,,,,,
593,19,1996,Oslo,Iceland,Anna Mjöll,Sjúbídú,51,13th,,,,,,,,,,,,,,
594,20,1996,Oslo,Poland,Kasia Kowalska,Chce Znac Swój Grzech,31,15th,,,,,,,,,,,,,,
595,21,1996,Oslo,Bosnia & Herzegovina,Amila Glamocak,Za Nau Ljubav,13,22nd,,,,,,,,,,,,,,
596,22,1996,Oslo,Slovakia,Marcel Palonder,Kým Nás Má,19,18th,,,,,,,,,,,,,,
597,23,1996,Oslo,Sweden,One More Time,Den Vilda,100,3rd,0TYwFP4MxszHAXAJMYhi3E,0.377,0.43799999999999994,0.0,-9.703,1.0,0.0283,0.785,0.0,0.111,0.14,80.686,189800.0,3.0
598,1,1995,Dublin,Poland,Justyna,Sama,15,18th,,,,,,,,,,,,,,
599,2,1995,Dublin,Ireland,Eddie Friel,Dreamin',44,14th,,,,,,,,,,,,,,
600,3,1995,Dublin,Germany,Stone and Stone,Verliebt In Dich,1,23rd,,,,,,,,,,,,,,
601,4,1995,Dublin,Bosnia & Herzegovina,Davor Popovic,Dvadeset I Prvi Vijek,14,19th,,,,,,,,,,,,,,
602,5,1995,Dublin,Norway,Secret Garden,Nocturne,148,1st,,,,,,,,,,,,,,
603,6,1995,Dublin,Russia,Philipp Kirkorov,Kolybelnaya Dlya Vulkana,17,17th,,,,,,,,,,,,,,
604,7,1995,Dublin,Iceland,Bó Halldórsson,Núna,31,15th,,,,,,,,,,,,,,
605,8,1995,Dublin,Austria,Stella Jones,Die Welt Dreht Sich Verkehrt,67,13th,,,,,,,,,,,,,,
606,9,1995,Dublin,Spain,Anabel Conde,Vuelve Conmigo,119,2nd,,,,,,,,,,,,,,
607,10,1995,Dublin,Turkey,Arzu Ece,Sev!,21,16th,,,,,,,,,,,,,,
608,11,1995,Dublin,Croatia,Magazin and Lidija,Nostalgija,91,6th,,,,,,,,,,,,,,
609,12,1995,Dublin,France,Nathalie Santamaria,Il Me Donne Rendez-vous,94,4th,,,,,,,,,,,,,,
610,13,1995,Dublin,Hungary,Czaba Szigeti,Ùj Nèv Egy Règi Hàz Fàlan,3,22nd,,,,,,,,,,,,,,
611,14,1995,Dublin,Belgium,Frédéric Etherlinck,La Voix Est Libre,8,20th,,,,,,,,,,,,,,
612,15,1995,Dublin,United Kingdom,Love City Groove,Love City Groove,76,10th,,,,,,,,,,,,,,
613,16,1995,Dublin,Portugal,Tó Cruz,Baunilha E Chocolate,5,21st,,,,,,,,,,,,,,
614,17,1995,Dublin,Cyprus,Alexandros Panayi,Sti Fotia,79,9th,,,,,,,,,,,,,,
615,18,1995,Dublin,Sweden,Jan Johansen,Se På Mej,100,3rd,,,,,,,,,,,,,,
616,19,1995,Dublin,Denmark,Aud Wilken,Fra Mols Til Skagen,92,5th,,,,,,,,,,,,,,
617,20,1995,Dublin,Slovenia,Darja Svajger,Prisluhni Mi,84,7th,7qJfD2FsOFWoiY9iv29h8I,0.467,0.428,7.0,-4.955,1.0,0.0268,0.5920000000000001,0.0,0.115,0.16899999999999998,139.77,173000.0,4.0
618,21,1995,Dublin,Israel,Liora,Amen,81,8th,,,,,,,,,,,,,,
619,22,1995,Dublin,Malta,Mike Spiteri,Keep Me In Mind,76,10th,,,,,,,,,,,,,,
620,23,1995,Dublin,Greece,Elina Constantopoulou,Pia Prossefchi,68,12th,,,,,,,,,,,,,,
621,1,1994,Dublin,Sweden,Marie Bergman and Roger Pontare,Stjärnorna,48,13th,,,,,,,,,,,,,,
622,2,1994,Dublin,Finland,CatCat,Bye Bye Baby,11,22nd,,,,,,,,,,,,,,
623,3,1994,Dublin,Ireland,Paul Harrington and Charlie McGettigan,Rock 'n' Roll Kids,226,1st,,,,,,,,,,,,,,
624,4,1994,Dublin,Cyprus,Evridiki,Ime Anthropos Ke Ego,51,11th,,,,,,,,,,,,,,
625,5,1994,Dublin,Iceland,Sigga,Nætur,49,12th,,,,,,,,,,,,,,
626,6,1994,Dublin,United Kingdom,Frances Ruffelle,We Will Be Free (lonely Symphony),63,10th,,,,,,,,,,,,,,
627,7,1994,Dublin,Croatia,Tony Cetinski,Nek'ti Bude Ljubav Sva,27,16th,6LvCiKxGNE1eR7t4w7tIkB,0.47,0.583,2.0,-7.456,1.0,0.0328,0.5720000000000001,6.07e-05,0.303,0.35600000000000004,136.05700000000002,178507.0,4.0
628,8,1994,Dublin,Portugal,Sara Tavares,Chamar A Música,73,8th,,,,,,,,,,,,,,
629,9,1994,Dublin,Switzerland,Duilio,Sto Pregando,15,19th,3mKwTK3Oz1vegk0Mi2vrdT,0.544,0.287,5.0,-13.36,1.0,0.0298,0.486,0.0,0.289,0.21100000000000002,145.691,185093.0,4.0
630,10,1994,Dublin,Estonia,Silvi Vrait,Nagu Merelaine,2,24th,,,,,,,,,,,,,,
631,11,1994,Dublin,Romania,Dan Bittman,Dincolo De Nori,14,21st,,,,,,,,,,,,,,
632,12,1994,Dublin,Malta,Moira Stafrace and Christopher Scicluna,More Than Love,97,5th,,,,,,,,,,,,,,
633,13,1994,Dublin,The Netherlands,Willeke Alberti,Waar Is De Zon,4,23rd,7cO0NMxfCQH4zJqU7GJOKg,0.293,0.315,10.0,-17.857,1.0,0.192,0.8059999999999999,0.0,0.981,0.353,74.914,296640.0,4.0
634,14,1994,Dublin,Germany,MeKaDo,Wir Geben 'ne Party,128,3rd,,,,,,,,,,,,,,
635,15,1994,Dublin,Slovakia,Martin Durinda and Tublatanka,Nekovecná Piesen,15,19th,,,,,,,,,,,,,,
636,16,1994,Dublin,Lithuania,Ovidijus Vyšniauskas,Lopšinė Mylimai,—,25th,,,,,,,,,,,,,,
637,17,1994,Dublin,Norway,Elisabeth Andreasson and Jan Werner Danielsen,Duett,76,6th,,,,,,,,,,,,,,
638,18,1994,Dublin,Bosnia & Herzegovina,Alma and Dejan,Ostani Kraj Mene,39,15th,,,,,,,,,,,,,,
639,19,1994,Dublin,Greece,Costas Bigalis and the Sea Lovers,To Trehantiri (diri Diri),44,14th,,,,,,,,,,,,,,
640,20,1994,Dublin,Austria,Petra Frey,Für Den Frieden Der Welt,19,17th,5l4vgqNUApoAzoUpFmKcAU,0.563,0.79,9.0,-1.551,1.0,0.0262,0.6629999999999999,0.0,0.161,0.718,94.993,184640.0,4.0
641,21,1994,Dublin,Spain,Alejandro Abad,Ella No Es Ella,17,18th,,,,,,,,,,,,,,
642,22,1994,Dublin,Hungary,Friderika Bayer,Kinek Mondjam El Vétkeimet,122,4th,,,,,,,,,,,,,,
643,23,1994,Dublin,Russia,Youddiph,Vechni Stranik,70,9th,,,,,,,,,,,,,,
644,24,1994,Dublin,Poland,Edyta Górniak,To Nie Ja!,166,2nd,5zuDr7y3zJXbWrGoxzXPGR,0.48200000000000004,0.753,2.0,-3.923,1.0,0.0448,0.32,0.0,0.272,0.235,139.793,185187.0,4.0
645,25,1994,Dublin,France,Nina Morato,Je Suis Un Vrai Garçon,74,7th,,,,,,,,,,,,,,
646,1,1993,Millstreet,Italy,Enrico Ruggeri,Sole D'europa,45,12th,,,,,,,,,,,,,,
647,2,1993,Millstreet,Turkey,"Burak Aydos, Öztürk Baybora & Serter",Esmer Yarim,10,21st,,,,,,,,,,,,,,
648,3,1993,Millstreet,Germany,Münchener Freiheit,Viel Zu Weit,18,18th,4KR49pzlifyec8b0HzIybv,0.46,0.47,11.0,-7.063,1.0,0.025,0.254,0.0,0.14,0.233,75.987,177880.0,4.0
649,4,1993,Millstreet,Switzerland,Annie Cotton,"Moi, Tout Simplement",148,3rd,,,,,,,,,,,,,,
650,5,1993,Millstreet,Denmark,Tommy Seebach Band,Under Stjernerne På Himlen,9,22nd,0ZcKEZQMJECZZZkqLYl3CR,0.563,0.847,5.0,-6.49,1.0,0.0281,0.11900000000000001,1.89e-06,0.319,0.705,89.958,164347.0,4.0
651,6,1993,Millstreet,Greece,Kaiti Garbi,"Ellada, Hora Tou Fotos",64,9th,,,,,,,,,,,,,,
652,7,1993,Millstreet,Belgium,Barbara,Iemand Als Jij,3,25th,,,,,,,,,,,,,,
653,8,1993,Millstreet,Malta,William Mangion,This Time,69,8th,,,,,,,,,,,,,,
654,9,1993,Millstreet,Iceland,Inga,þá Veistu Svarið,42,13th,5Ca1nvUuOrpW0XB3KBszAa,0.435,0.465,5.0,-12.699000000000002,1.0,0.0267,0.0265,0.22,0.24,0.22399999999999998,102.804,186410.0,4.0
655,10,1993,Millstreet,Austria,Tony Wegas,Maria Magdalena,32,14th,,,,,,,,,,,,,,
656,11,1993,Millstreet,Portugal,Anabela,A Cidade Até Ser Dia,60,10th,,,,,,,,,,,,,,
657,12,1993,Millstreet,France,Patrick Fiori,Mama Corsica,121,4th,,,,,,,,,,,,,,
658,13,1993,Millstreet,Sweden,Arvingarna,Eloïse,89,7th,5Ws6u3a6SibPmJazXdEAHB,0.691,0.725,7.0,-3.5010000000000003,1.0,0.0272,0.297,0.0,0.268,0.46399999999999997,132.556,188000.0,4.0
659,14,1993,Millstreet,Ireland,Niamh Kavanagh,In Your Eyes,187,1st,,,,,,,,,,,,,,
660,15,1993,Millstreet,Luxembourg,Modern Times,Donne-moi Une Chance,11,20th,,,,,,,,,,,,,,
661,16,1993,Millstreet,Slovenia,1X Band,Tih Dezeven Dan,9,22nd,,,,,,,,,,,,,,
662,17,1993,Millstreet,Finland,Katri-Helena,Tule Luo,20,17th,,,,,,,,,,,,,,
663,18,1993,Millstreet,Bosnia & Herzegovina,Fazla,Sva Bol Svijeta,27,16th,,,,,,,,,,,,,,
664,19,1993,Millstreet,United Kingdom,Sonia,Better The Devil You Know,164,2nd,,,,,,,,,,,,,,
665,20,1993,Millstreet,The Netherlands,Ruth Jacott,Vrede,92,6th,,,,,,,,,,,,,,
666,21,1993,Millstreet,Croatia,Put,Don't Ever Cry,31,15th,,,,,,,,,,,,,,
667,22,1993,Millstreet,Spain,Eva Santamaria,Hombres,58,11th,,,,,,,,,,,,,,
668,23,1993,Millstreet,Cyprus,Kyriakos Zymboulakis and Demos Van Beke,Mi Stamatas,17,19th,,,,,,,,,,,,,,
669,24,1993,Millstreet,Israel,Lakahat Shiru,Shiru,4,24th,,,,,,,,,,,,,,
670,25,1993,Millstreet,Norway,Silje Vige,Alle Mine Tankar,120,5th,2vjWIL15xP9nkUOPlyoFbn,0.542,0.233,5.0,-14.687999999999999,0.0,0.0303,0.792,0.00011499999999999999,0.11900000000000001,0.215,110.449,246152.0,4.0
671,1,1992,Malmo,Spain,Serafin,Todo Esto Es La Música,37,14th,,,,,,,,,,,,,,
672,2,1992,Malmo,Belgium,Morgane,Nous On Veut Des Violons,11,20th,,,,,,,,,,,,,,
673,3,1992,Malmo,Israel,Dafna,Ze Rak Sport,85,6th,,,,,,,,,,,,,,
674,4,1992,Malmo,Turkey,Aylin Vatankos,Yaz Bitti,17,19th,,,,,,,,,,,,,,
675,5,1992,Malmo,Greece,Cleopatra,Olou Tou Kosmou I Elpida,94,5th,,,,,,,,,,,,,,
676,6,1992,Malmo,France,Kali,Monté La Riviè,73,8th,7yUmWJiOOkt58GKDaAZh6T,0.728,0.489,9.0,-12.772,0.0,0.205,0.742,0.00031299999999999996,0.34600000000000003,0.758,168.101,200507.0,4.0
677,7,1992,Malmo,Sweden,Christer Björkman,I Morgon är En Annan Dag,9,22nd,7DqyeESnaKCwDjgmA45UFZ,0.585,0.47,9.0,-10.569,1.0,0.0271,0.645,0.0,0.135,0.369,84.089,190000.0,4.0
678,8,1992,Malmo,Portugal,Diná,Amor D'água Fresca,26,17th,1O9DxA393mO7BhzcdycDHu,0.6729999999999999,0.894,7.0,-4.046,0.0,0.0271,0.253,0.000328,0.297,0.804,140.018,173253.0,4.0
679,9,1992,Malmo,Cyprus,Evridiki,Teriazoume,57,11th,5iPtQNm3mPTAwlN7kfc08x,0.7020000000000001,0.363,10.0,-10.675,0.0,0.038,0.5379999999999999,0.0,0.113,0.504,118.902,187813.0,4.0
680,10,1992,Malmo,Malta,Mary Spiteri,Little Child,123,3rd,,,,,,,,,,,,,,
681,11,1992,Malmo,Iceland,Heart 2 Heart,Nei Eða Já,80,7th,18Zjs7xoNOTVePmyCuLvwJ,0.629,0.8370000000000001,7.0,-6.246,1.0,0.0454,0.0568,0.0,0.075,0.779,88.041,171549.0,4.0
682,12,1992,Malmo,Finland,Pave,Yamma Yamma,4,23rd,,,,,,,,,,,,,,
683,13,1992,Malmo,Switzerland,Daisy Auvray,Mister Music Man,32,15th,,,,,,,,,,,,,,
684,14,1992,Malmo,Luxembourg,Marion Welter and Kontinent,Sou Fräi,10,21st,,,,,,,,,,,,,,
685,15,1992,Malmo,Austria,Tony Wegas,Zusammen Geh'n,63,10th,,,,,,,,,,,,,,
686,16,1992,Malmo,United Kingdom,Michael Ball,One Step Out Of Time,139,2nd,4FoEAvxkTIvfaoiskyqFfO,0.514,0.777,4.0,-8.068999999999999,1.0,0.0592,0.365,0.0,0.976,0.893,154.04,149583.0,4.0
687,17,1992,Malmo,Ireland,Linda Martin,Why Me,155,1st,,,,,,,,,,,,,,
688,18,1992,Malmo,Denmark,Lotte Nilsson and Kenny Lübcke,Ålt Det Som Ingen Ser,47,12th,,,,,,,,,,,,,,
689,19,1992,Malmo,Italy,Mia Martini,Rapsodia,111,4th,,,,,,,,,,,,,,
690,20,1992,Malmo,Yugoslavia,Extra Nena,Ljubim Te Pesmama,44,13th,,,,,,,,,,,,,,
691,21,1992,Malmo,Norway,Merethe Trøan,Visjoner,23,18th,,,,,,,,,,,,,,
692,22,1992,Malmo,Germany,Wind,Träume Sind Für Alle Da,27,16th,6GOeCowfmp1PK72RoRmaWL,0.5720000000000001,0.505,2.0,-8.323,1.0,0.261,0.831,0.0,0.7040000000000001,0.578,148.167,252613.0,4.0
693,23,1992,Malmo,The Netherlands,Humphrey Campbell,Wijs Me De Weg,67,9th,2hVNKv5797OsBC4PxnwZdz,0.579,0.679,8.0,-12.238,1.0,0.0387,0.35600000000000004,0.0019399999999999999,0.165,0.48200000000000004,119.985,175099.0,4.0
694,1,1991,Rome,Yugoslavia,Baby Doll,Brazil,1,21st,,,,,,,,,,,,,,
695,2,1991,Rome,Iceland,Stefán and Eyfi,Nina,26,15th,,,,,,,,,,,,,,
696,3,1991,Rome,Malta,Paul Giordimaina and Georgina,Could It Be,106,6th,,,,,,,,,,,,,,
697,4,1991,Rome,Greece,Sofia Vossou,I Anixi,36,13th,,,,,,,,,,,,,,
698,5,1991,Rome,Switzerland,Sandra Simò,Canzone Per Te,118,5th,,,,,,,,,,,,,,
699,6,1991,Rome,Austria,Thomas Forstner,Venedig Im Regen,—,22nd,,,,,,,,,,,,,,
700,7,1991,Rome,Luxembourg,Sarah Bray,Un Baiser Volé,29,14th,,,,,,,,,,,,,,
701,8,1991,Rome,Sweden,Carola,Fångad Av En Stormvind,146,1st,1ynNSYxc0RkdSLsKGcuODE,0.6459999999999999,0.828,8.0,-8.342,1.0,0.038,0.589,0.0,0.0613,0.539,93.185,181227.0,4.0
702,9,1991,Rome,France,Amina,C'est Le Dernier Qui A Parlé Qui A Raison,146,2nd,,,,,,,,,,,,,,
703,10,1991,Rome,Turkey,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér",Iki Dakika,44,12th,,,,,,,,,,,,,,
704,11,1991,Rome,Ireland,Kim Jackson,Could It Be That I'm In Love,47,10th,,,,,,,,,,,,,,
705,12,1991,Rome,Portugal,Dulce,Lusitana Paixão,62,8th,,,,,,,,,,,,,,
706,13,1991,Rome,Denmark,Anders Frandsen,Lige Der Hvor Hjertet Slår,8,19th,03fKnIb01IC1rrU0PnPbDL,0.568,0.46799999999999997,3.0,-8.427,1.0,0.0255,0.198,0.0,0.10099999999999999,0.306,108.98700000000001,227200.0,4.0
